id,spotify_id,popularity,release,danceability,energy,key,mode,valence,tempo,duration_ms,artist,song,album_name,lang,genres,tags
olIlprWNeNe5Pdjg,38casNXY2G39SZRUjALtcY,37.0,2011,0.818,0.71,10.0,1.0,0.7909999999999999,145.97,216547,Britney Spears,How I Roll,Femme Fatale (Deluxe Version),en,"pop,electronic,electropop","pop,electronic,kick,electropop,bloodshy and avant,idm"
2jfZWc9gcwcDIpI9,09dLgc8kXAmD96NaGYR25u,23.0,2011,0.7979999999999999,0.723,9.0,1.0,0.762,127.06,244667,Jennifer Lopez,Good Hit,LOVE? (Deluxe Edition),en,pop,"pop,dance,jennifer lopez,sexy"
F27N1L5x2NH9oznh,6rsm9NTgl9kKPatf7S1yCS,66.0,2018,0.795,0.7,6.0,0.0,0.7979999999999999,120.002,190347,Why Don't We,Talk,8 Letters,en,"pop,electronic,teen pop","pop,electronic,teen pop,male vocalists,boysband,boyband"
vbh3ctAWik56xVHg,4TG5IxYNnsyxnDMP7dbKS5,26.0,2016,0.7809999999999999,0.708,11.0,0.0,0.785,131.953,152727,Dorian Electra,Vibrator,Vibrator,en,"pop,rock,synthpop","pop,rock,synthpop,american"
e0YgFPXXbO3XgtK1,0BAVZv9yFpfHWWZY7XeWxx,47.0,2015,0.813,0.6679999999999999,0.0,1.0,0.785,117.006,208853,Shawn Mendes,Believe,Descendants (Original TV Movie Soundtrack),en,"pop,soundtrack","pop,canadian,soundtrack,descendants,movie song,wake-up song"
zW1hu6IPU92ib7LW,1BfXy0gM3tmB6Jc1QdtaLj,47.0,2010,0.7809999999999999,0.7020000000000001,10.0,0.0,0.787,120.148,321496,Hot Chip,One Life Stand,One Life Stand,en,"electronic,electropop,pop","electronic,electropop,indie,pop"
48yFItrJMRXWneOe,6nyvdiulzQlznOpbi5PCu3,25.0,2014,0.7979999999999999,0.74,1.0,0.0,0.7879999999999999,129.944,221542,Prince,Art Official Cage,ART OFFICIAL AGE,en,"funk,funk,pop,soul","fip,funk,funk,pop,soul"
1EFHc8aeLRO7M2xD,2G8MDb25Oed8ZAx6qUG7Q8,40.0,2017,0.86,0.711,5.0,0.0,0.759,138.026,166479,Erika Jayne,XXpen$ive,XXPEN$IVE,en,"pop,house,electronic","pop,house,electronic,dance,erika jayne"
F66hXqHM88HRHV7p,7s7tnZE05RMouEnwcUhqQo,44.0,2019,0.8170000000000001,0.731,9.0,0.0,0.736,113.982,190117,Betty Who,Language,Betty,en,"pop,electropop,synthpop,indie pop","pop,electropop,synthpop,indie pop,female vocalists,dance"
zhVz0GzdIfEnbUze,10uRkDT2LoYDJnzgacTXKx,40.0,2015,0.813,0.6629999999999999,11.0,0.0,0.792,102.46,290413,Mariah Carey,Fantasy - Bad Boy Fantasy,#1 to Infinity,en,"pop,soul","pop,rnb,female vocalists,soul,mariah carey"
