spotify_id,popularity,release,danceability,energy,key,mode,valence,tempo,duration_ms,artist,song,album_name,lang,genres,tags
0d28khcov6AiegSCpG5TuT,77.0,2005,0.818,0.705,6.0,1.0,0.772,0.5704293483406957,222640,Gorillaz,Feel Good Inc.,Demon Days,en,"electronic,rock","alternative,electronic,hip-hop,rock,gorillaz"
0d28khcov6AiegSCpG5TuT,77.0,2005,0.818,0.705,6.0,1.0,0.772,0.5704293483406957,222640,Gorillaz,Demon Days,Demon Days,en,electronic,"alternative,electronic,gorillaz,indie"
0d28khcov6AiegSCpG5TuT,77.0,2005,0.818,0.705,6.0,1.0,0.772,0.5704293483406957,222640,Gorillaz,Feel Good Inc,Demon Days,en,"electronic,rock,electronic","alternative,electronic,hip-hop,rock,gorillaz,alternative,electronic,hip-hop"
2YAtzwbV0k4pTFZs0cICCB,39.0,2010,0.727,0.628,1.0,0.0,0.6859999999999999,0.48581944232883084,214853,El Canto del Loco,Contigo,Radio la Colifata Presenta: El Canto del Loco,es,"latin rock,pop,rock","spanish,ballad,rock en español,latin rock,spanish,pop,rock"
2V0TJ07v9YUv07nTuDj3mX,27.0,2017,0.845,0.731,3.0,1.0,0.799,0.5308909317711186,284742,Niki & the Dove,You Stole My Heart Away,Everybody's Heart Is Broken Now (Deluxe Version),en,"synthpop,disco,electronic","synthpop,boogie,disco,electronic,swedish,female vocalists"
0RFCHlNuTeUHIB36VuVbOL,40.0,2013,0.71,0.614,6.0,1.0,0.6729999999999999,0.5558268115255884,237640,Taylor Swift,Sweeter Than Fiction,Sweeter Than Fiction,en,"pop,soundtrack","pop,soundtrack"
1fG6iJc7E5AT2lLKtDWKGs,10.0,2004,0.518,0.448,4.0,0.0,0.488,0.5353865534801958,208040,Ensiferum,Ferrum Aeternum,Iron,INTRUMENTAL,"folk metal,viking metal,metal","folk metal,viking metal,instrumental,metal"
1hEbB3owWqArkuX5Er8pA8,31.0,2013,0.6659999999999999,0.5710000000000001,7.0,1.0,0.628,0.5476218902195527,206000,Still Corners,All I Know,Strange Pleasures,en,"dream pop,dream pop,lo-fi,indie pop","indie,dream pop,dream pop,lo-fi,indie pop"
6C1cJLAtnHrYG61mBrLABI,16.0,2019,0.682,0.585,8.0,1.0,0.644,0.45289683536226394,254267,nimmo,Dancing Makes Us Brave,The Power,en,"pop,synthpop","pop,dance,synthpop,party,british,empowerment"
0It6VJoMAare1zdV2wxqZq,62.0,2009,0.6829999999999999,0.585,8.0,1.0,0.6409999999999999,0.47754453423794685,235000,Muse,Undisclosed Desires,The Resistance,en,"alternative rock,rock,electronic","alternative rock,rock,alternative,electronic,muse"
